X,Y,name,store_name,street,city,province,postal_cod,country,source,result_num,osm_id,display_na,category,type,latlong,audit_corrected
-97.15646701,49.8999148,No Frills,CHRIS' NOFRILLS WINNIPEG,600 Notre Dame Avenue,Winnipeg,Manitoba,R3B 1S4,Canada,https://www.nofrills.ca/en/store-locator,0,255737697,"No Frills, 600, Notre Dame Avenue, West Alexander, Point Douglas, Winnipeg, Manitoba, R3A 1T2, Canada",shop,supermarket,"49.899914800000005,-97.15646701028184",n
-97.12153722,49.8827376,No Frills,ANDY & NICK'S NOFRILLS WINNIPEG,161 Goulet Street,Winnipeg,Manitoba,R2H 0R6,Canada,https://www.nofrills.ca/en/store-locator,0,16248631,"No Frills, 161, Rue Goulet Street, Central St. Boniface, St. Boniface, Winnipeg, Manitoba, R2H 0R8, Canada",shop,supermarket,"49.8827376,-97.12153721520059",n
-97.12303457,49.9265462,No Frills,HELLARD'S NOFRILLS WINNIPEG,1445 Main Street,Winnipeg,Manitoba,R2W 3V8,Canada,https://www.nofrills.ca/en/store-locator,0,83572046,"1445, Main Street, Luxton, Mynarski, Winnipeg, Manitoba, R2W 3W1, Canada",building,retail,"49.926546200000004,-97.12303456774211",n
-97.153291,49.8568387,No Frills,LUIS & EMMA'S NOFRILLS WINNIPEG STAFFORD,677 Stafford Street,Winnipeg,Manitoba,R3M 2X7,Canada,https://www.nofrills.ca/en/store-locator,0,55536466,"No Frills, 677, Stafford Street, Ebby–Wentworth, Fort Rouge–East Fort Garry, Winnipeg, Manitoba, R3M 2X7, Canada",shop,supermarket,"49.8568387,-97.153291",n
-97.07564898,49.95290225,No Frills,TREVOR & HAYLEY'S NOFRILLS WINNIPEG,1795 Henderson Highway,Winnipeg,Manitoba,R2G 1P3,Canada,https://www.nofrills.ca/en/store-locator,0,261922532,"McIvor Mall, 1795, Henderson Highway, Valhalla, River East, North Kildonan, Winnipeg, Manitoba, R2G 1P3, Canada",shop,mall,"49.952902249999994,-97.0756489796811",n
-97.02775917,49.90005635,No Frills,MIKE'S NOFRILLS WINNIPEG PLESSIS,1500 Plessis Road,Winnipeg,Manitoba,R2C 5R5,Canada,https://www.nofrills.ca/en/store-locator,0,1042843813,"1500, Plessis Road, Regent, Transcona, Winnipeg, Manitoba, R2C 5R6, Canada",building,yes,"49.90005635,-97.02775916662235",n
-97.08453059,49.82197215,No Frills,JERAMIE'S NOFRILLS WINNIPEG,740 St. Anne's Road,Winnipeg,Manitoba,R2N 0A2,Canada,https://www.nofrills.ca/en/store-locator,0,130699947,"No Frills, 740, Saint Anne's Road, Dakota Crossing, St. Norbert - Seine River, Winnipeg, Manitoba, R2N 0A2, Canada",shop,supermarket,"49.82197215,-97.0845305858893",n
-97.3156732,49.8622821,No Frills,TOM'S NOFRILLS WINNIPEG,6650 Roblin Boulevard,Winnipeg,Manitoba,R3R 2P9,Canada,https://www.nofrills.ca/en/store-locator,0,237059867,"No Frills, 6650, Roblin Boulevard, Westdale, Charleswood - Tuxedo - Westwood, Winnipeg, Manitoba, R3R 2H3, Canada",shop,supermarket,"49.8622821,-97.31567320170383",n
-97.1546124,49.9411235,Save-on-foods,Northgate,1399 McPhillips Street,Winnipeg,Manitoba,R2V 3C4,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,0,47971905,"Northgate Shopping Centre, 1399, McPhillips Street, Garden City, Old Kildonan, Winnipeg, Manitoba, R2V 3C4, Canada",building,yes,"49.941123499999996,-97.15461239999999",n
-97.06115986,49.8984703,Save-on-foods,Kildonan,1555 Regent Avenue West,Winnipeg,Manitoba,R2C 4J2,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,0,200022752,"Kildonan Place, 1555, Regent Avenue West, Regent, Transcona, Winnipeg, Manitoba, R3C 4J2, Canada",building,retail,"49.8984703,-97.06115985577773",n
-97.1500276,49.8224768,Save-on-foods,Pembina,1910 Pembina Highway,Winnipeg,Manitoba,R3T 4S5,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,0,97967222,"1910, Pembina Highway, Pembina Strip, River Heights - Fort Garry, Winnipeg, Manitoba, R3T 2G7, Canada",building,retail,"49.8224768,-97.1500276",n
-97.199287,49.7980482,Save-on-foods,Bridgwater,400 Town Road North,Winnipeg,Manitoba,R3Y 0Y3,Canada,https://www.saveonfoods.com/sm/planning/rsid/1982/store,0,430131075,"Save-On-Foods, 400, North Town Road, Bridgwater Centre, Waverley West, Winnipeg, Manitoba, R3Y 0Y3, Canada",shop,supermarket,"49.7980482,-97.199287",n
-97.1587049,49.8531207,Wal-mart,Winnipeg (grant Park),1000 Taylor Avenue,Winnipeg,Manitoba,R3M 1T6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N0,0,293804635,"Walmart Supercentre, 1000, Taylor Avenue, Grant Park Festival, River Heights–Fort Garry, River Heights - Fort Garry, Winnipeg, Manitoba, R3M 3Z4, Canada",shop,supermarket,"49.853120700000005,-97.1587048999281",n
-97.0641641,49.89392585,Wal-mart,"E. Winnipeg, Manitoba",1576 Regent Ave West,Winnipeg,Manitoba,R2C 3B4,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N1,0,289480850,"Walmart, 1576, Regent Avenue West, Regent, Transcona, Winnipeg, Manitoba, R3C 4J2, Canada",shop,department_store,"49.89392585,-97.06416410184707",n
-97.07622455,49.8544883,Wal-mart,Winnipeg (se),35 Lakewood Boulevard,Winnipeg,Manitoba,R2J 2M8,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N2,0,149505368,"35, Lakewood Boulevard, Southdale, St. Boniface, Winnipeg, Manitoba, R2J 2M6, Canada",building,retail,"49.8544883,-97.07622454989988",n
-97.15004597,49.9576129,Wal-mart,"N. Winnipeg, Garden City",2370 McPhillips Street,Winnipeg,Manitoba,R2V 4J6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N3,0,71794060,"Walmart, 2370, McPhillips Street, Leila North, Old Kildonan, Winnipeg, Manitoba, R2V 3J7, Canada",shop,department_store,"49.9576129,-97.15004597015482",n
-97.1105284,49.8291119,Wal-mart,"S. Winnipeg, St.vital Ctr",1225 St Mary's Road,Winnipeg,Manitoba,R2M 5E6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N4,0,81339601,"1225, Saint Mary's Road, St. Vital Centre, St. Vital, Winnipeg, Manitoba, R2M 5E5, Canada",building,retail,"49.8291119,-97.11052839999999",n
-97.1989243,49.8237291,Wal-mart,Sw Winnipeg Manitoba,1665 Kenaston Boulevard,Winnipeg,Manitoba,R3P 2M4,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N5,0,40838192,"Walmart, 1665, Kenaston Boulevard, Linden Woods, River Heights - Fort Garry, Winnipeg, Manitoba, R3P 2M4, Canada",shop,department_store,"49.8237291,-97.19892430125293",n
-97.31312608,49.88589295,Wal-mart,"W. Winnipeg, Manitoba",3655 Portage Avenue,Winnipeg,Manitoba,R3K 2G6,Canada,https://www.walmart.ca/en/store-finder?location=L5V%202N6,0,50114428,"Walmart Supercentre, 3655, Portage Avenue, Unicity Shopping Centre, Crestview, St. James, Winnipeg, Manitoba, R3K 2G6, Canada",shop,supermarket,"49.88589295,-97.313126084743",n
